file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_1 29 1.354000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_2 38 1.227000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_3 38 1.375000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_4 34 1.115000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_2 26 1.081000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_3 28 1.177000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_4 31 1.629000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_3 32 1.225000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_4 37 1.246000 0
../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_3 ../data/random_hod_experiments_paper/n_50_5/set_7/triangulation/t_4 38 1.462000 0
