file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_1 74 4.773000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_2 69 4.418000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_3 69 4.422000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_4 71 4.429000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_2 79 4.440000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_3 69 4.447000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_4 75 4.405000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_2 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_3 64 4.458000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_2 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_4 69 4.422000 0
../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_3 ../data/random_hod_experiments_paper/n_150_2/set_0/triangulation/t_4 76 4.394000 0
