file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_1 38 1.338000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_2 42 1.486000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_3 28 1.114000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_4 34 1.112000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_2 36 1.144000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_3 43 1.183000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_4 33 1.080000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_3 41 1.448000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_4 42 1.455000 0
../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_3 ../data/random_hod_experiments_paper/n_50_5/set_1/triangulation/t_4 48 1.321000 0
