file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_1 156 7.509000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_2 167 8.018000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_3 154 7.221000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_4 158 7.580000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_2 168 7.100000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_3 161 7.483000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_4 151 7.395000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_3 167 7.958000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_4 172 7.664000 0
../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_3 ../data/random_hod_experiments_paper/n_200_5/set_3/triangulation/t_4 158 7.357000 0
