file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_1 144 12.977000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_2 137 12.848000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_3 140 12.797000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_4 153 12.626000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_2 125 12.899000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_3 132 12.817000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_4 148 12.633000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_3 141 12.884000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_4 149 12.709000 0
../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_3 ../data/random_hod_experiments_paper/n_300_2/set_3/triangulation/t_4 147 12.790000 0
