file1 file2 simple eppstein hanke
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 23 23 23
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_12_100 27 27 27
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_1_100 20 20 20
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_2_100 19 21 21
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_3_100 31 34 34
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_4_100 24 29 31
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_5_100 33 33 35
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_6_100 27 27 27
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_7_100 35 36 38
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_8_100 29 29 29
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_9_100 30 34 35
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_10_100 19 20 20
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_11_100 22 23 23
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_12_100 20 21 21
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_1_100 19 20 20
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_2_100 21 22 22
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_3_100 31 35 35
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_4_100 32 33 35
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_5_100 28 28 28
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_6_100 26 27 27
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_7_100 16 16 16
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_8_100 32 34 36
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_9_100 26 28 31
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_12_100 31 32 32
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_1_100 17 17 17
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_2_100 29 29 29
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_3_100 24 26 26
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_4_100 34 36 36
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_5_100 30 32 32
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_6_100 22 23 23
