file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_1 172 7.711000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_2 157 7.626000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_3 155 7.490000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_4 159 7.727000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_2 149 7.126000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_3 153 7.356000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_4 149 7.029000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_2 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_3 144 6.762000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_2 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_4 150 7.510000 0
../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_3 ../data/random_hod_experiments_paper/n_200_5/set_1/triangulation/t_4 135 7.041000 0
