file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_1 75 4.448000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_2 64 4.422000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_3 69 4.361000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_4 61 4.437000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_2 59 4.436000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_3 67 4.373000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_4 76 4.378000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_2 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_3 65 4.379000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_2 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_4 68 4.428000 0
../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_3 ../data/random_hod_experiments_paper/n_150_2/set_7/triangulation/t_4 69 4.381000 0
