file1 file2 simple eppstein hanke
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 19 19 20
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_3_5 22 22 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_4_5 23 23 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_5_5 22 22 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_6_5 19 19 19
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_7_5 31 31 32
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_8_5 16 16 16
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_9_5 30 30 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_10_5 18 18 18
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_11_5 24 24 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_12_5 24 24 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_1_5 27 27 27
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_2_5 29 29 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_3_5 22 22 22
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_4_5 31 31 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_5_5 18 18 18
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_6_5 27 27 27
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_7_5 28 28 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_8_5 21 21 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_9_5 17 17 17
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_10_5 26 26 26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_11_5 24 24 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_12_5 21 21 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_1_5 26 26 26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_2_5 19 19 19
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_3_5 31 31 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_4_5 22 22 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_5_5 25 25 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_6_5 24 24 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_7_5 29 29 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_8_5 15 15 15
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_9_5 22 22 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 24 24 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 23 23 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_3_5 25 25 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_4_5 24 24 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_5_5 28 28 28
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_6_5 26 26 26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_7_5 21 21 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_8_5 22 22 22
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_9_5 25 25 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_10_5 25 25 25
