file1 file2 flip runtime primal_bound
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 -33 300017 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 20 155311 20
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_3_5 23 198371 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_4_5 23 0 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_5_5 23 124116 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_6_5 19 0 19
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_7_5 -31 300013 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_8_5 16 0 16
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_9_5 -30 300117 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_10_5 18 0 18
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_11_5 24 0 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_12_5 24 0 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_1_5 27 0 27
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_2_5 29 0 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_3_5 22 0 22
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_4_5 31 0 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_5_5 18 0 18
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_6_5 27 0 27
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_7_5 -28 300008 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_8_5 21 0 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_9_5 17 0 17
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_10_5 26 0 26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_11_5 -24 300011 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_12_5 21 0 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_1_5 26 0 26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_2_5 19 0 19
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_3_5 31 0 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_4_5 23 110074 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_5_5 25 0 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_6_5 24 0 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_7_5 29 0 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_8_5 15 0 15
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_9_5 23 107699 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 24 0 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 23 0 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_3_5 25 0 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_4_5 24 0 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_5_5 28 0 28
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_6_5 26 0 26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_7_5 21 0 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_8_5 22 0 22
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_9_5 25 0 25
