file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_1 34 1.048000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_2 42 1.326000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_3 34 1.231000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_4 37 1.121000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_2 40 1.101000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_3 41 1.320000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_4 36 1.152000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_3 37 1.192000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_4 37 1.190000 0
../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_3 ../data/random_hod_experiments_paper/n_50_5/set_3/triangulation/t_4 41 1.346000 0
