file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_1 124 5.657000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_2 113 4.946000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_3 111 4.877000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_4 122 5.339000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_2 128 5.901000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_3 129 5.205000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_1 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_4 132 5.357000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_2 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_3 112 4.932000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_2 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_4 113 6.092000 0
../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_3 ../data/random_hod_experiments_paper/n_150_5/set_8/triangulation/t_4 128 5.023000 0
