file1 file2 flip heuristic runtime closed open count_e count_s
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_11_5 24 24 0 0 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 16 15 16 1084 28333 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_1_5 15 15 0 0 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_2_5 20 20 0 0 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_3_5 27 26 3939 75274 1829022 37632 37642
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_4_5 10 10 0 0 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_5_5 25 24 804 34564 936391 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_6_5 25 23 1889 69125 1900492 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_7_5 22 22 0 0 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_8_5 19 18 33 2357 60835 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_9_5 18 18 0 0 0 0 0
