file1 file2 simple eppstein hanke
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 34 39 43
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 28 30 35
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_1_100 26 29 29
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_2_100 35 37 37
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_3_100 29 31 33
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_4_100 31 37 38
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_5_100 46 52 53
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_6_100 40 47 48
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_7_100 44 48 49
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_8_100 33 35 40
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_9_100 34 38 46
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_10_100 30 32 36
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_11_100 22 22 22
