file1 file2 flip runtime primal_bound
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_11_5 23 0 23
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_12_5 18 0 18
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_1_5 18 0 18
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_2_5 22 0 22
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_3_5 20 0 20
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_4_5 10 0 10
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_5_5 22 0 22
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_6_5 20 55054 20
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_7_5 22 0 22
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_8_5 15 0 15
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_9_5 24 0 24
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_10_5 18 0 18
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_11_5 15 12153 15
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_12_5 16 0 16
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_1_5 17 0 17
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_2_5 12 0 12
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_3_5 -25 300040 -27
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_4_5 19 0 19
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_5_5 19 0 19
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_6_5 19 84973 19
../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_35/s_35_5/triangulation/t_2010_7_5 11 0 11
