file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_1 17 1.027000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_2 23 0.993000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_3 13 0.999000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_4 17 0.993000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_2 21 1.031000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_3 20 1.019000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_4 14 1.010000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_3 22 0.999000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_4 18 1.010000 0
../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_3 ../data/random_hod_experiments_paper/n_50_2/set_2/triangulation/t_4 20 1.001000 0
