file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_0 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_1 37 2.481000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_0 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_2 46 2.428000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_0 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_3 43 2.433000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_0 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_4 39 2.433000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_1 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_2 39 2.467000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_1 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_3 42 2.450000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_1 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_4 35 2.458000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_2 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_3 28 2.469000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_2 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_4 36 2.481000 0
../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_3 ../data/random_hod_experiments_paper/n_100_2/set_9/triangulation/t_4 42 2.450000 0
