file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_1 187 10.728000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_2 200 11.188000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_3 187 10.202000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_4 205 10.251000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_1 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_2 197 9.736000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_1 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_3 184 10.111000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_1 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_4 199 10.024000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_2 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_3 212 10.468000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_2 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_4 217 10.366000 0
../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_3 ../data/random_hod_experiments_paper/n_250_5/set_0/triangulation/t_4 182 10.935000 0
