file1 file2 flip runtime closed open 
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_1 -1 300000 18318496 65669756
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_10 -1 300000 18564160 65823817
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_11 -1 300000 18787031 66510864
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_12 -1 300000 18491066 66683731
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_13 -1 300000 18707264 70608365
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_14 -1 300000 18659221 70270606
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_15 -1 304122 18520041 69534678
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_16 -1 300000 18839788 66817409
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_17 -1 300000 18798819 66694453
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_18 -1 300000 18713062 66927962
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_19 -1 300000 18558697 66574174
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_2 -1 300000 18562970 66632446
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_3 -1 300000 18709363 70235483
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_4 -1 300000 18360923 71162838
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_5 -1 300000 18530997 67924852
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_6 -1 300000 18377829 67419183
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_7 -1 300000 18429172 67320982
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_8 -1 300000 18668104 69847926
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_9 -1 300000 18923272 65455662
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_10 -1 300000 19691943 66408656
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_11 -1 300000 19944864 66600274
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_12 -1 300000 19474245 69092613
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_13 -1 300000 18988743 69567358
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_14 -1 300000 18792665 69517371
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_15 -1 300000 18905490 69330137
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_16 -1 300000 19950691 67051135
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_17 -1 300000 19867235 66483499
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_18 -1 300000 19838190 67736327
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_19 -1 300000 19432882 67071861
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_2 -1 300000 19572037 66845565
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_3 -1 300000 18936632 69602778
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_4 -1 300000 18625530 70055838
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_5 -1 300000 19260657 70112737
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_6 -1 300000 18918008 68920138
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_7 -1 300000 18998139 69010936
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_8 -1 300000 18743622 68149310
../data/random_experiments_paper/n_25/set_0/triangulation/t_1 ../data/random_experiments_paper/n_25/set_0/triangulation/t_9 -1 300000 19564685 64486216
../data/random_experiments_paper/n_25/set_0/triangulation/t_10 ../data/random_experiments_paper/n_25/set_0/triangulation/t_11 -1 300000 19913192 64265435
../data/random_experiments_paper/n_25/set_0/triangulation/t_10 ../data/random_experiments_paper/n_25/set_0/triangulation/t_12 -1 300000 19510879 66844146
../data/random_experiments_paper/n_25/set_0/triangulation/t_10 ../data/random_experiments_paper/n_25/set_0/triangulation/t_13 -1 305852 18769086 68929486
../data/random_experiments_paper/n_25/set_0/triangulation/t_10 ../data/random_experiments_paper/n_25/set_0/triangulation/t_14 -1 304091 18453105 68929490
../data/random_experiments_paper/n_25/set_0/triangulation/t_10 ../data/random_experiments_paper/n_25/set_0/triangulation/t_15 -1 300000 18745224 68872195
