file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_1 107 9.834000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_2 114 9.622000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_3 110 9.628000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_0 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_4 116 9.586000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_2 118 9.628000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_3 129 9.458000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_1 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_4 119 9.573000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_3 116 9.619000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_2 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_4 126 9.525000 0
../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_3 ../data/random_hod_experiments_paper/n_250_2/set_3/triangulation/t_4 110 9.641000 0
