file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_1 39 1.301000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_2 38 1.465000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_3 40 1.164000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_0 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_4 41 9.414000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_2 40 1.228000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_3 44 1.319000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_1 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_4 30 1.125000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_3 34 1.125000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_2 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_4 38 1.129000 0
../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_3 ../data/random_hod_experiments_paper/n_50_5/set_4/triangulation/t_4 41 1.259000 0
